Prompt,Completion
How do I install the JBS System software?,"Download the required setups from jbs.co.ke, including JBS Setup, MySQL Database Server, and Crystal Reports add-on. Follow the installation steps as described in the manual."
What is the default root password for MySQL?,"The recommended default root password for MySQL is ""jbs."" You can change it during the installation."
Can I install JBS System on Windows 8?,Windows 8 may require enabling DotNet Framework 3.5. Follow the instructions in the manual for details on enabling it.
How can I configure the JBS System for the first time?,Run JBS System and enter the root password for MySQL. Register the software using your school name and key or run it as a demo version.
Is it possible to configure JBS System for distributed access?,"Yes, you can configure JBS System for access from multiple machines with a central database. Ensure MySQL is installed on the server computer and configure the other computers accordingly."
What is the process for registering exams in JBS System?,"Go to the ""Register Exams"" menu under Academics, select the term and enter details such as which class takes the exam and any remarks."
How can I allocate students to the subjects they take?,"Use the ""Lesson Allocations and Validation"" section under Academics to allocate students to their subjects by checking the checkboxes for the subjects they take."
How do I enter marks for students in JBS System?,"In the ""Marks Entry"" menu, select the class, stream, and subject you teach. Specify the exam details and enter the marks. The system will grade and save the marks automatically."
Can I import marks from an MS Excel document?,"Yes, you can import marks from MS Excel into JBS System. Ensure the Excel document is organized as shown in the manual."
What is a broadsheet in JBS System?,"A broadsheet is a report that displays student results, typically showing their performance in various subjects and exams."
How do I process a broadsheet in JBS System?,"After entering the raw marks, go to the ""Broadsheets"" section. Select the class, choose the exams to include, and specify the weight for each exam. Click ""Go"" to process the broadsheet."
Can I customize the format of the report cards?,"Yes, you can customize the format of report cards in JBS System, including adding additional information and formatting options."
How can I set academic targets for students?,"You can set academic targets for both classes and individual students. For classes, go to ""Registration"" and enter targets. For students, go to ""Records"" and set targets for each student."
Is it possible to view trends in student performance?,"Yes, you can view trends in student performance in JBS System, including progressive performance in each subject and overall results."
How can I generate personalized letters for students?,Personalized letters for the entire class are currently being refined as a feature in JBS System.
Can parents view the full broadsheet for their children?,"No, parents can only view the top 10 students' broadsheet as provided for each exam."
Is there a way to print personalized letters for the entire class?,This feature is not currently available in JBS System.
How do I set up a grading system for specific exams?,"Use the ""Setting Up Grading System"" under Academics to set up a grading system for each class and subject."
What information is included on report cards in JBS System?,"You can include various details on report cards, such as student details, results, remarks, and any additional information you choose to display."
How can I analyze class performance and grade distribution?,"Use the ""Class Analysis"" feature to analyze class performance, including grade distribution. You can group results by streams, gender, and more."
How can I back up the data in JBS System?,"To back up the data, follow the backup procedures provided in the ""System Administration"" section of the manual."
Is there a way to manage library books in JBS System?,"Yes, you can manage library books by using the ""Library"" section in the software. You can register books, issue and receive them, and more."
How do I set up a timetable for classes in JBS System?,"To set up a timetable, refer to the ""Timetable"" section in the manual, which provides a procedure for creating and managing class timetables."
Can I send SMS messages to parents using JBS System?,"Yes, there is an inbuilt SMS gateway in the software. You can connect to the internet and use it to send messages, including exam results and fee balances."
"What is the purpose of the ""Stores"" section in JBS System?","The ""Stores"" section is used for managing supplies, items, procurement, and stock in the school. It helps track and manage inventory."
How can I set up personalized student ID cards in JBS System?,"To set up student ID cards, you can use the ""Student ID Cards"" feature provided in the ""JBS System Extras"" section."
Is there a way to manage discipline records in JBS System?,"Yes, you can record and report discipline incidents using the ""Discipline Recording and Reporting"" feature under ""JBS System Extras."""
How can I set up clubs and societies in the software?,"You can set up clubs and societies using the ""Clubs and Societies"" feature under ""JBS System Extras."""
Can JBS System handle accommodation management?,"Yes, accommodation management is possible using the ""Accommodation Management"" feature provided in the software."
How can I record health records for students in JBS System?,"You can record health records for students using the ""Health Records"" feature under ""JBS System Extras."""
"What is the purpose of the ""Online Synchronization"" feature?","Online synchronization allows you to sync data with the internet. It's explained in detail under ""System Administration"" in the manual."
How can I customize the content of personalized letters?,Customizing the content of personalized letters is not covered in the manual. It may require further development or customization of the software.
